Crop,N,P,K,Temperature,Humidity,pH,Rainfall,Yield
N/A,123,,,18.2,,,,
barley,,66,,,61.5,,,
soybean,,72,,,94.3,4.7,,unknown
groundnut,,,,,69.2,,,1683.7
maize,,,57,,,5.7,279,3050.7
unknown,,,30,,35.0,,,
sugarcane,91,,,21.4,89.5,5.3,,
maize,71,46,74,36.4,,,,
groundnut,104,,54,,38.9,,,1453.2
,44,80,,,,,273,
barley,107,,,,,,,unknown
,,,,,,,,
soybean,,,,,,,,
wheat,,,,,49.0,,,
maize,,,,34.3,,7.7,,
groundnut,,,,,61.2,5.3,134,unknown
N/A,,,,19.9,,4.5,149,2105.6
barley,,,71,18.1,,4.7,297,
barley,,,,23.5,85.6,,258,
barley,,,,,,7.0,,unknown
banana,65,23,74,32.3,,7.7,107,
,,,,,,,220,
wheat,,,71,39.1,,,,3553.6
cotton,41,,31,,,,98,
groundnut,,,,,,5.5,,
unknown,,23,,,,,120,unknown
sugarcane,45,,,35.5,,,,3400.3
unknown,,,32,,,,,1804.7
barley,,,41,32.8,,,,unknown
barley,43,,,,,7.5,,2565.5
millet,,,,37.8,,,127,
soybean,,73,45,37.9,,,,
sugarcane,,,,,36.8,5.0,,
barley,50,26,49,16.8,,,220,
rice,98,,54,24.5,,6.8,,
,68,49,,,49.6,,,
maize,104,,47,,,,,3299.7
millet,,77,,,43.3,7.8,,unknown
barley,,35,,34.1,99.9,,201,
rice,,,,,99.2,,217,unknown
N/A,,,,,,8.1,,2921.6
barley,,,,,95.3,,82,3573.1
maize,,,,34.0,,6.8,,unknown
groundnut,,,42,16.0,,,,unknown
cotton,,,,,,7.3,,1827.6
N/A,,71,,,,,,
groundnut,,,,,,,209,unknown
groundnut,,,52,,,,,1939.9
wheat,,,,,45.7,,177,
soybean,,,35,17.4,,,,unknown
wheat,,,,26.0,,5.2,,unknown
soybean,100,26,,,,,,
sugarcane,,65,,25.3,,,195,5488.1
wheat,44,,,32.1,,5.5,197,3077.2
rice,106,,,,68.1,,,
sugarcane,78,,44,,53.0,,,
barley,,43,,,,5.5,,unknown
maize,,,23,32.0,,,,3087.7
wheat,,,63,,,,,2252.1
wheat,115,44,78,,,,70,unknown
wheat,61,78,,,77.6,,,
wheat,,,,,85.7,,,
wheat,,,,35.5,33.4,,,3234.8
cotton,,49,45,,,,,
soybean,,,41,,,,227,unknown
barley,,,75,27.6,,7.1,,unknown
wheat,,,,,65.2,4.9,,
maize,,,,,,6.2,,unknown
millet,,39,,,,,,
,,,,,,,,
banana,,,,19.2,,,,unknown
N/A,117,25,55,,,,85,
rice,,20,24,,72.3,,105,3850.6
N/A,,63,,,57.9,8.5,272,
millet,,,,15.2,,4.9,58,2755.8
soybean,,36,,36.4,68.2,,55,
,,,41,,,,293,
barley,,,52,,,,,unknown
barley,,,,,94.2,,,
cotton,,,,,60.6,7.6,,
rice,74,,,,,,,
N/A,,39,69,,46.3,,221,unknown
sugarcane,,,49,,,5.2,237,unknown
soybean,,,23,,,6.9,,
banana,,,,,50.2,,,
cotton,,,,,33.3,,,unknown
,,47,,,,4.9,,unknown
millet,,50,,,32.2,7.4,,
barley,,,,25.1,48.9,5.2,,2876.9
maize,,,,17.7,,,194,
,,,,,37.9,,,
maize,69,,42,23.5,44.4,5.2,,unknown
,,52,,,78.7,,,
sugarcane,71,,33,37.9,,6.7,135,unknown
sugarcane,,,,,89.9,,,
wheat,122,,,36.1,84.9,,,
cotton,,,,,97.8,,167,
barley,,,,26.1,73.8,8.4,,
unknown,53,,,15.3,,,,4118.7
groundnut,,,48,38.7,,,,
cotton,107,,,,,6.8,,unknown
cotton,,,,23.7,,,,
cotton,,46,,,,7.6,,
barley,,,,34.2,,7.7,,
millet,,27,,,,,292,
banana,,,62,,46.4,,241,unknown
unknown,,,,,80.1,5.4,,
soybean,,,,,,,87,
rice,,,,,,,,
maize,,,20,20.9,,,291,
banana,66,,,25.3,,6.0,,4081.5
N/A,106,,,25.2,,,227,3034.1
maize,,,33,,77.4,,,unknown
unknown,,43,,36.6,,,,2798.1
banana,,,,23.7,,8.3,,2962.2
maize,,,,26.0,56.4,8.4,,3413.4
maize,,,,20.8,,,,3300.7
cotton,,,,,,,,
N/A,,59,62,,,5.0,77,
soybean,70,,,21.2,92.7,,,
,,,,,96.5,4.9,253,
barley,68,,56,,84.4,6.4,,
sugarcane,,57,,,,,,
wheat,67,28,20,,50.0,4.7,,
N/A,,,,,,,106,
millet,60,,,24.9,65.0,,,unknown
,46,34,,22.9,,,138,
soybean,,,76,39.2,,,,
wheat,,,,,40.5,,,
maize,118,,,,,,,
sugarcane,75,25,,,,,167,
cotton,,,50,,,,,unknown
,101,,,,,,246,unknown
barley,,,,,66.6,,,
N/A,76,51,,19.6,66.0,6.1,83,
banana,43,27,,,,,,
millet,114,31,,,75.5,7.0,238,unknown
cotton,,,,33.8,66.1,,,
barley,,,28,,,,,
wheat,,,,,78.6,,,2750.5
cotton,,,,,47.1,6.2,,
banana,,58,,,71.0,,113,unknown
wheat,42,,,,73.2,,,
barley,,,,,99.3,7.9,,unknown
sugarcane,,,,18.2,,,57,
millet,,51,,,73.4,,,
wheat,63,21,65,39.3,40.2,,,2488.5
barley,,35,,,91.8,,,
soybean,,47,,,,4.7,,
banana,,,,,53.4,4.8,,
cotton,40,77,53,33.2,,,,
groundnut,82,,74,,,5.9,176,
groundnut,114,78,61,,,,242,unknown
wheat,,,,,38.4,,,2534.8
barley,91,34,,39.6,,,,
barley,,,,,63.9,,,
banana,,,,,43.1,,,unknown
maize,103,,,,42.0,,,unknown
banana,73,,,,,,288,unknown
wheat,,,61,29.3,56.0,,117,
unknown,,49,24,,,,,1549.8
,,,,,34.2,7.7,,unknown
cotton,,,,,,,,3221.4
N/A,,31,,,77.5,,,unknown
cotton,112,,79,,,,,
wheat,,,,,,,,3486.7
wheat,,,,,89.8,7.1,,2986.0
groundnut,,,,22.4,,7.5,,2599.0
maize,68,29,,33.5,90.1,,192,unknown
maize,,,,26.7,73.5,8.3,,3943.9
unknown,,,75,26.3,,5.0,,1909.0
,66,,,29.2,,,,2707.4
barley,80,,,,43.9,5.1,,
groundnut,,,38,,,,,2074.9
banana,74,,71,,,,,unknown
millet,,57,69,,99.2,6.2,,2320.5
maize,76,,62,17.4,,6.6,,3094.7
rice,,,73,,,,146,3486.0
soybean,,,,36.0,,5.2,,2835.0
soybean,77,,,33.3,,,218,
banana,126,,34,,64.6,4.7,,
groundnut,,25,57,33.1,66.8,,,unknown
sugarcane,99,,,,41.4,,114,
wheat,43,30,,22.4,,,,3070.8
unknown,,,,24.8,,6.7,225,3315.6
millet,,,23,33.8,,,,
banana,,80,29,,,,,3164.4
millet,,,,17.2,80.0,,,
soybean,,29,,25.2,,,,
N/A,,,50,,62.0,6.6,184,unknown
banana,129,43,34,19.7,,,273,unknown
millet,,,60,25.9,,7.6,,
wheat,,,,,93.9,,148,
sugarcane,69,,,35.2,,,271,unknown
rice,,,,,,,263,
,,,50,36.5,98.4,6.9,,unknown
,,,56,,46.1,7.2,269,
,51,21,27,,,6.9,,3206.6
rice,100,,53,,,,,
groundnut,,,22,38.2,,,,2413.1
cotton,,68,,15.4,42.4,,,
sugarcane,,,,,98.6,,78,unknown
N/A,,,27,30.8,,,213,
barley,,,,19.1,,8.4,,3334.7
millet,,,46,,78.9,4.7,229,2607.1
rice,89,,,,,8.2,191,
N/A,66,,,23.6,,4.7,89,3380.7
wheat,,38,34,32.6,,7.9,176,
maize,,,56,,,,,unknown
N/A,,49,49,,,5.4,168,
barley,,,76,,80.3,,,
N/A,54,,,,96.3,,,
N/A,,79,,,,7.5,,unknown
N/A,,70,58,,50.8,,233,unknown
maize,,66,72,,,,,unknown
,,,48,,,8.0,,4247.6
,77,,,,70.1,,,3753.5
cotton,74,23,,,,,,unknown
barley,,32,,,,4.7,,
cotton,43,,76,,,,171,2247.3
groundnut,,69,68,,95.7,,,
soybean,,52,,,,,124,
maize,,,,22.0,62.8,6.5,58,unknown
maize,,78,,29.1,57.6,,167,unknown
sugarcane,,57,,19.9,,8.4,,
cotton,116,59,,,,,,unknown
unknown,,,64,,,,,unknown
sugarcane,,48,42,,,,,
millet,129,,,,,5.6,,unknown
barley,,,,,99.4,,,
millet,57,52,45,,,,,unknown
soybean,,,63,24.1,,8.3,134,unknown
barley,59,,58,34.1,,,,
N/A,82,,24,,,,,
N/A,,,49,,,,,
unknown,,,26,35.2,,5.9,,
cotton,,62,32,,,,,2665.9
sugarcane,,45,,,,5.4,170,5563.2
,,27,,,77.6,,,
sugarcane,,39,,,,5.8,,3792.6
unknown,124,,,,,,,
soybean,,,50,,,,237,
millet,,,,,,,,3415.2
soybean,76,75,,23.6,63.6,,270,
N/A,,,39,,,,173,unknown
cotton,,22,31,,,5.8,251,unknown
,126,,52,,,7.0,115,3127.9
rice,,77,75,31.9,,,,
maize,50,27,,,,7.4,,2630.2
sugarcane,,60,,,63.3,5.4,,
barley,,76,,22.5,,,287,3104.5
N/A,,,,,,,,
wheat,106,,,,,,185,unknown
barley,,,,,,,,3425.2
banana,,,,,72.6,8.1,,unknown
barley,,,,,,,,
rice,,,,,,5.0,,
groundnut,,,22,,92.7,6.1,,
N/A,,51,,23.4,87.1,5.7,122,
groundnut,,,,,59.9,,,unknown
rice,,,,,,,,unknown
,,,,,70.1,,,2804.2
unknown,,,,,,,,
unknown,111,72,,19.8,,,57,
maize,,,,,,,,
soybean,76,,,25.4,,5.8,,3641.1
wheat,55,75,,,,,228,
wheat,72,,,27.6,,,,
rice,,32,37,,73.0,5.3,,
unknown,,,,,,,,unknown
N/A,,24,55,,,,285,
groundnut,,,,,82.3,,169,
N/A,73,,,18.5,,,,3154.3
groundnut,,33,,32.3,,,235,1908.2
groundnut,68,59,,,,,,
rice,106,,73,,,,,unknown
rice,,,54,,,,,
unknown,,37,,,,,241,3568.5
unknown,93,60,70,25.5,89.1,,,
banana,,21,,26.8,32.9,7.4,,unknown
millet,,,,23.2,85.2,7.5,,2953.1
wheat,,72,,37.1,,,,3334.9
,124,,,,,,75,unknown
wheat,,,45,,,,,
soybean,,37,,32.6,,,,3363.5
,,27,,17.8,38.4,7.7,,
barley,,25,,,,,,unknown
sugarcane,,25,,,,,,
maize,117,31,,33.2,,,,
unknown,101,49,,19.8,,,,
rice,,,,23.4,,6.1,,
sugarcane,,,52,,59.7,5.7,,unknown
wheat,50,,,,,,,
millet,,,,,78.6,5.7,,
millet,,,54,,88.8,6.0,253,unknown
sugarcane,101,,,25.2,,,280,
N/A,62,,,,,,,
wheat,87,,55,,31.5,,139,3307.5
N/A,,25,,25.2,,,,unknown
wheat,,33,,16.6,39.3,,60,2121.8
barley,66,28,79,,48.3,7.8,226,unknown
barley,,,65,,,,,
N/A,,,,,64.9,7.5,,unknown
wheat,,,49,,,5.5,,
unknown,119,,27,30.9,66.2,7.4,,
rice,,36,,,37.0,,300,2927.4
sugarcane,,,,,77.9,,,unknown
,,,,29.5,98.6,,,unknown
sugarcane,93,,,,77.2,6.5,296,
N/A,,,,,37.4,,,
wheat,,,,,,8.0,,unknown
barley,,,,,37.5,6.9,122,unknown
banana,42,,,,,4.8,104,unknown
,,65,65,,,,80,2741.0
wheat,,64,,,,,,
barley,,,,,46.4,,,
wheat,,,,,,5.5,86,2130.9
cotton,,23,25,18.8,50.2,,,unknown
maize,42,69,,32.7,,5.4,,
wheat,47,57,,,33.0,,,unknown
N/A,,20,,,,5.8,238,
barley,,49,,27.6,,,,unknown
banana,71,,,,,,,3196.4
unknown,92,,,39.2,,,,
barley,43,65,55,32.9,,,188,
cotton,,74,52,,93.9,,,
banana,,46,,,,8.4,,unknown
groundnut,,57,,19.7,,,,1422.1
cotton,121,31,65,,53.2,,,
soybean,,,45,,,,,
cotton,,45,,,,6.3,214,unknown
N/A,99,,53,,75.9,5.2,226,2259.4
N/A,58,,63,,,5.8,,
barley,116,25,22,,,,240,
wheat,122,,,,,,,unknown
millet,115,70,67,,75.1,8.1,90,
millet,130,63,,35.4,,,,
rice,,60,,,,,,unknown
banana,113,,,,,,,4784.7
cotton,,36,,,55.6,,,
,120,,,,,,,2935.8
unknown,,,76,,,,275,
rice,,,66,32.8,58.7,,,
rice,,,58,,,7.1,175,
barley,,,,,,,,3430.5
maize,,72,,,,,,unknown
maize,,,,,,,,unknown
banana,46,60,,,67.8,8.5,,3118.5
rice,66,,,,,,,unknown
barley,,,59,36.8,,6.4,,
N/A,,,34,31.9,59.7,8.3,,
cotton,,55,53,,,,166,unknown
cotton,,,,,,5.1,219,
soybean,,,,,56.8,7.8,,unknown
banana,,,25,,42.8,7.4,50,unknown
unknown,,,,,61.5,,,4644.3
millet,125,,,33.3,41.0,,,
banana,,,,,70.5,,,4999.5
millet,,,76,18.0,,,204,
unknown,,,,20.4,,8.5,,unknown
groundnut,,,,,,6.9,,1901.0
wheat,,,44,,88.1,,82,
barley,,,,26.3,,,86,
N/A,,,,,,,197,unknown
wheat,64,66,,,,6.0,,
barley,53,33,,,,,,2352.9
millet,84,21,,,,7.3,,unknown
groundnut,,,73,,,,,unknown
rice,65,53,,,,,,
soybean,112,29,,,,,113,
banana,,,,,85.3,6.6,151,unknown
barley,118,,,29.5,,,,3591.7
rice,,21,,,55.8,,93,
cotton,103,,28,,,,,
wheat,63,,,,53.7,6.3,,2404.0
cotton,121,,32,,,,147,
banana,,,,27.4,,,59,
soybean,88,,49,,,,,2886.5
unknown,,,,,83.9,,235,unknown
N/A,,59,47,23.8,,7.7,,2283.2
millet,,,,15.2,,,,
cotton,,,79,,,,197,
maize,,51,23,,,,,
unknown,68,63,,,,,,
N/A,52,67,,,,,,
banana,,,,,,6.1,,
rice,76,,,33.4,,,,4121.7
barley,79,,,26.2,68.9,7.4,,
unknown,78,,,,45.1,8.5,,unknown
banana,,,,18.8,,,190,
barley,,,,,44.4,,,unknown
maize,,,,29.2,,,,
unknown,98,63,37,,,,,3379.2
wheat,,,46,35.2,,,,3229.3
banana,,63,,,79.2,,,
barley,,,33,,,,,
N/A,97,64,,37.0,61.6,,141,2739.3
soybean,,68,74,39.6,,,,2919.0
millet,,,37,29.7,,,260,
rice,,,35,,,,,
rice,,,56,,,,102,
groundnut,,,53,29.0,,,,1850.0
rice,,,,,,,,
sugarcane,,,54,,,,,5452.0
wheat,,,,,98.5,,,unknown
maize,,,39,,,,,
barley,,80,,,92.4,5.0,,
groundnut,74,,56,,,,242,1482.3
unknown,,,,,71.3,6.2,209,
unknown,113,,,,,,,unknown
,,,,40.0,,4.7,,
soybean,,36,,,,5.9,,
groundnut,,,,23.5,,,165,unknown
N/A,,,,,,,,4026.1
banana,59,22,,,,6.3,235,2822.0
cotton,,,61,24.2,98.8,7.3,,2524.0
banana,128,,,,,,158,4345.2
rice,,29,73,,,5.3,292,
unknown,,50,,31.4,,,199,unknown
groundnut,,,,,,,,
soybean,,,,,,,,unknown
cotton,122,40,,,63.2,,127,
millet,78,,26,,,,104,
barley,99,,,,,,220,unknown
maize,,,,,,,,
barley,,,32,,56.2,,285,3207.7
rice,107,36,27,,87.9,,184,
unknown,68,42,25,,,8.0,,unknown
millet,78,,,38.4,,7.1,,unknown
groundnut,55,,,,,,292,
N/A,,22,52,32.8,60.4,,108,unknown
maize,63,,,,,8.2,218,
cotton,112,,,18.8,,,,
rice,108,,,,,,284,unknown
barley,,69,,,,,,unknown
unknown,104,,70,30.3,67.0,,,unknown
barley,54,,58,39.6,,,,
soybean,,23,31,,,,,
rice,,,,25.0,,,,unknown
millet,,,,,,5.9,253,2585.2
N/A,,,,,,6.4,236,
,,,68,,75.9,,,unknown
sugarcane,88,,,,57.5,6.1,164,unknown
unknown,,,,23.6,62.5,,,
wheat,,63,50,16.3,71.2,,246,unknown
,,52,69,34.0,,,283,
N/A,,,28,24.2,59.9,,,unknown
sugarcane,,,,,,,,unknown
soybean,,33,30,,,,,
rice,,,,,,,,4263.0
banana,,,57,,99.7,,,3732.4
unknown,,,66,,,7.2,,
rice,121,,75,23.3,,5.2,,4453.8
sugarcane,,37,,35.9,63.0,,,
soybean,126,24,,,59.7,,,
cotton,92,53,,22.2,,,,
,99,36,,,82.6,,,4418.7
sugarcane,,,50,33.8,,,202,
barley,,,,,,,,unknown
rice,77,,,15.5,,6.1,170,unknown
sugarcane,,,21,22.2,,,65,
N/A,,22,,39.3,93.6,,,2292.6
sugarcane,,,71,,,,180,
soybean,,,,,92.4,,,
N/A,49,,,27.0,96.7,,218,
,122,70,21,,41.8,,,4003.2
maize,,,,,,5.2,93,
soybean,108,63,69,26.5,,,,
,,,,,,,,4557.4
groundnut,125,63,,,72.1,,214,1904.3
,,39,,,,,102,unknown
,,53,,,,5.3,,4717.8
,,,,,,,,
cotton,,,,,91.7,,,unknown
groundnut,76,,,21.7,79.7,,,2037.8
soybean,,72,,,61.6,,,3453.7
,96,77,,38.3,,6.8,96,
rice,,28,,,,5.2,94,
wheat,99,36,,15.4,,,214,
,,59,,26.4,,5.2,200,
,116,21,35,24.6,,,,
maize,,,,24.3,,6.6,,
cotton,,,,17.4,,,,unknown
maize,,,,,,,,3092.4
soybean,46,25,57,34.2,,6.1,,
banana,,,52,17.1,92.7,,,4565.8
soybean,60,,58,,,6.3,,unknown
soybean,,47,20,,,,,
wheat,,,23,,85.8,6.8,148,unknown
banana,,33,,,90.1,,123,
sugarcane,63,,,28.2,34.0,,288,
barley,64,,,,,8.2,,unknown
wheat,,,20,29.1,62.5,4.6,,3365.2
soybean,,,51,,,,299,
groundnut,,,,,,8.0,,1510.0
wheat,,,,,,,282,unknown
rice,114,51,,,,,183,
,,58,,,,4.9,,
groundnut,,,,37.1,,,,
wheat,,29,,34.9,44.5,,,
wheat,,,58,,,,,unknown
cotton,,,25,25.2,,,,3078.4
groundnut,61,,,24.8,39.1,,,
N/A,54,,,21.6,,,,
banana,41,,41,,92.5,,274,
wheat,,55,,18.5,,5.4,,
unknown,,,43,26.6,,,,
N/A,,,20,,72.1,,,2588.2
banana,,,,,,8.2,,
maize,,,,,,,,3932.8
rice,67,,,,,7.2,,
sugarcane,,59,55,,72.8,,,3540.2
N/A,,,,17.0,,6.4,,2527.1
N/A,,68,75,,,,,
N/A,82,,,33.3,49.0,,196,
N/A,,,,,99.3,8.4,,
cotton,,,34,,81.7,7.8,,unknown
soybean,,,77,,,,288,unknown
rice,,26,37,32.3,82.6,6.7,275,
cotton,,76,72,29.0,,8.1,,unknown
cotton,,,,34.9,70.0,,,unknown
wheat,,59,,,,,256,
banana,,,,27.5,,,,2844.3
rice,,,,,,,,
millet,,47,,,,5.5,,unknown
banana,,,,,,,,4368.5
banana,,,,36.4,,,197,
millet,121,,,,,,,2780.8
groundnut,,,,,83.4,,176,
maize,60,34,59,34.0,34.5,6.1,163,
wheat,44,,,,68.0,,,
unknown,64,77,,,,,,
rice,,,,,69.6,,,3896.6
barley,,,53,,,6.8,,
rice,76,,,,45.6,,289,unknown
banana,,55,,31.9,31.4,,,unknown
,49,,,22.2,99.4,,,unknown
sugarcane,,,,27.9,,8.2,75,
N/A,,,20,,,,,
groundnut,107,,49,,39.4,6.9,171,2489.2
rice,,,51,,,,,unknown
millet,,,48,29.3,,4.5,,
banana,62,65,,,94.5,,,
sugarcane,41,57,,35.8,,,,
cotton,,,69,,34.8,,274,
unknown,,,,,,,213,
maize,125,,48,33.8,,,,
N/A,105,,,19.2,,7.9,,
banana,,,44,15.4,,4.6,272,
N/A,,67,,,,5.8,260,
rice,,,,,90.5,,,unknown
unknown,,33,71,,48.7,,,
soybean,95,,35,38.3,91.9,,,2606.0
maize,,66,,21.4,77.7,,,unknown
N/A,101,75,,,,,207,unknown
N/A,,,,,,,,3889.9
cotton,71,,,,69.1,,,
unknown,,76,,,54.0,,,unknown
wheat,,37,,21.1,,7.5,229,
cotton,,,,,,,,
sugarcane,,72,,,,,,
,84,61,,,98.5,4.5,,unknown
rice,51,,,,39.0,,,
banana,,,,,56.6,,227,
banana,60,23,,,,,300,
banana,,,,,92.4,,222,3935.5
N/A,,,,26.6,88.2,,,unknown
soybean,,32,34,,60.9,,,2794.2
N/A,,,,36.6,94.1,,,2415.5
wheat,,,33,,,,,
millet,115,,,25.0,58.9,,,
unknown,,,,,,5.9,,
N/A,,,,23.2,,,,3840.7
soybean,,62,,,85.5,,,2273.3
N/A,,41,20,38.1,47.0,,,
wheat,113,67,71,,,,122,unknown
unknown,,,,18.3,,,,unknown
unknown,76,,49,24.3,,,60,
sugarcane,,,,,86.4,,,3887.0
banana,,38,68,,,8.3,,
groundnut,,,,,,5.6,,unknown
groundnut,,,40,,,4.6,,
cotton,42,32,,,,,,2847.1
N/A,,,60,,,,203,1999.8
N/A,128,45,,,,5.5,,unknown
cotton,,,,,,,135,
groundnut,,,,21.4,,,,unknown
rice,50,77,,,,,,
groundnut,,,64,,89.9,7.9,,unknown
groundnut,,76,,,42.8,,,unknown
barley,,52,47,33.5,,,,
millet,97,,,26.2,50.2,,182,3148.8
millet,,,,,,,,unknown
maize,,,77,33.5,,,55,
soybean,122,24,,,,,66,3249.8
N/A,,58,48,,,,,
,,,37,,53.7,,265,
N/A,78,80,38,,,,,
barley,,,,,,8.4,,
barley,,,76,,94.7,,,
millet,,,,,,,,
unknown,40,55,,,36.1,,,
sugarcane,,63,53,20.9,,,,
groundnut,,,,,47.9,,,1484.8
cotton,99,59,,,,,105,unknown
millet,,,,,45.0,,,unknown
barley,,,30,,,,,
wheat,94,48,,,,,,
N/A,73,,55,,,,117,
,,22,20,,51.8,5.8,,
rice,,27,,,,,208,unknown
soybean,67,36,,,,,,
rice,,66,53,,62.6,,,
maize,,,,,,,287,
maize,45,,48,,54.7,,,3654.6
maize,54,,70,27.7,,,70,unknown
cotton,,,,31.9,,,71,3110.1
wheat,,,71,,,7.7,,unknown
maize,,45,,,,,,
soybean,101,,,,,,,
millet,97,,,,50.3,,,3306.2
groundnut,,48,,,,,,unknown
unknown,,62,,,31.6,,,
barley,48,,,,,6.4,,3397.1
N/A,112,,,18.4,,,,
soybean,,,,26.3,51.3,5.7,,
wheat,,59,24,19.1,,,123,unknown
millet,,,,34.3,,,,
millet,42,,,,,,,unknown
cotton,,,,,,7.9,,2355.8
soybean,88,,31,,78.5,,55,3896.8
N/A,,20,36,,,,218,unknown
barley,117,31,,,,,,
rice,,37,,,,7.1,65,3838.7
unknown,47,,,25.0,37.2,,,
banana,,69,,,,,,unknown
soybean,80,,,,47.2,,,unknown
soybean,,,,25.7,,5.0,211,unknown
N/A,,,,,,5.6,,
maize,,,,,93.2,5.0,,
barley,,,,,,,,3050.4
,,,66,,,,83,
millet,,,,26.0,99.3,,,unknown
barley,101,,,,33.1,,,
N/A,,,,,,,50,2670.2
sugarcane,,,,26.2,,6.1,70,unknown
banana,,60,,26.9,,,,
millet,,,,15.1,,,,
rice,78,64,,33.2,80.7,7.6,,
banana,87,,,35.3,,,153,4336.3
groundnut,101,,71,17.9,,,67,
,,,,,98.0,,,2974.1
N/A,,,,,,,,
banana,109,,,,54.1,6.6,,2926.2
groundnut,,,,,,,212,1950.9
millet,52,,34,,64.0,,,
soybean,65,56,,37.1,,,,3098.8
rice,47,,50,,77.9,,,unknown
,64,,,,,,,
N/A,69,,,,74.6,,,3851.8
,85,,58,,,7.0,,unknown
cotton,101,,,25.9,,,,unknown
soybean,,,,32.3,55.1,,158,unknown
maize,,48,,18.2,,,156,
unknown,,,,,,,,unknown
sugarcane,,,57,,32.6,6.5,,unknown
barley,,,,,62.7,8.3,145,unknown
groundnut,97,49,66,23.7,,,160,1404.1
banana,,,,25.7,,,,unknown
maize,85,77,55,27.1,41.1,8.2,,
N/A,,,,,,,203,3777.7
maize,98,,,,,8.2,,unknown
maize,,,,35.2,,,,
N/A,,,,,,,101,
barley,71,,41,23.5,,,,2706.4
wheat,,,,,82.0,,212,
banana,,,,,43.4,,,
wheat,94,74,,32.7,51.7,,266,2316.1
soybean,93,,,,,,,unknown
wheat,,61,71,,98.2,,,
cotton,,,,,,5.9,,
millet,93,,,,,,267,
wheat,,,,18.2,,4.6,,
soybean,,,79,,,,,2340.8
N/A,47,,28,38.9,,,,
groundnut,125,,,,44.9,7.8,,
maize,,,,17.3,,,,
N/A,,,,,,,,2101.4
barley,,56,,,,,,
unknown,,37,,,,,,
sugarcane,79,,,,49.9,,,5310.1
millet,55,,,,,,,
millet,,34,,,,,,unknown
cotton,,26,28,,,,,unknown
wheat,,,,,,,,2854.2
,,,73,,31.2,5.2,94,unknown
soybean,68,,,,48.9,,,3338.4
cotton,41,,,,78.3,,189,
,,,,,,,168,unknown
groundnut,,,,,32.2,,,unknown
millet,,,,,92.9,5.1,284,
wheat,,,,16.5,,,,unknown
soybean,,,,,,5.5,,
barley,,,,30.6,,,141,3594.6
N/A,,,,,,,,
soybean,,,43,,88.3,7.1,233,
wheat,,,,,,,,2946.5
soybean,,,23,,,6.7,182,
,,,33,22.3,,,143,3633.0
wheat,,29,,,71.0,7.6,,3165.1
N/A,,74,,19.4,,,,unknown
rice,,47,49,,,5.0,,3162.9
groundnut,87,,,,83.8,,,
N/A,47,20,,,,,,
banana,,73,,,,7.7,,unknown
banana,82,,,20.9,,,191,unknown
groundnut,99,30,74,29.7,45.3,6.9,199,unknown
sugarcane,54,,,,52.4,,,5424.9
unknown,,41,,,73.3,,245,2879.2
groundnut,106,,,16.8,,5.6,,
N/A,,,,34.3,,,295,unknown
banana,,,59,,78.6,5.6,,
,72,68,,,,,,unknown
sugarcane,,,21,,,,,
sugarcane,,,,,,,243,
soybean,,29,,,42.7,6.7,,
,40,63,62,,86.8,,87,
groundnut,,,,,,,,2463.2
,,,24,,32.5,7.4,,
,57,24,,,,,60,
wheat,,,66,,,,,
millet,50,,,,,6.8,107,unknown
millet,118,50,22,33.7,,4.7,,
unknown,,,,32.1,,5.1,,
groundnut,,73,61,,,5.4,,
sugarcane,,,75,,,,,4754.4
unknown,,,71,,49.5,,206,unknown
wheat,,,20,33.0,,,212,
wheat,47,,,,84.9,,,2761.7
unknown,,,44,,,5.5,,
wheat,103,49,,23.8,,,,unknown
unknown,,77,49,,78.4,6.4,,2518.2
groundnut,105,,,39.1,,,219,2276.3
sugarcane,,,,18.8,,,270,unknown
,,,,24.5,83.8,4.6,283,
unknown,,,48,,,8.3,,
soybean,,,,,,,,unknown
soybean,,37,,32.5,,,,unknown
cotton,81,,,,,,130,
sugarcane,56,,54,,,7.0,,4396.9
groundnut,,57,54,,62.1,,,2412.2
unknown,96,,,,,4.8,,unknown
unknown,,52,,38.1,80.7,5.8,,
soybean,,74,,39.9,54.3,6.1,,
N/A,,,,,,8.3,,
maize,,,65,,,,104,unknown
banana,58,,55,28.2,75.9,,,
groundnut,88,,73,,70.3,5.1,,
barley,102,,70,23.4,,7.6,139,unknown
,,,,,,,,unknown
N/A,,,,21.6,94.0,,201,2275.8
,,33,,26.1,53.8,,,
cotton,87,31,,16.6,,,,
N/A,66,68,53,,,,121,
rice,115,,56,,,,118,unknown
millet,,71,78,,,,,
wheat,,49,,,,4.5,,
soybean,118,,64,,,,,
unknown,,,43,,,,53,
cotton,,,,,,6.7,,
sugarcane,,,48,22.2,,,195,
cotton,,,,38.6,75.7,,,
cotton,,,,23.4,,,,
,,46,,,,5.9,,2429.2
rice,,60,,,,,,
wheat,80,38,,,50.2,7.0,182,3168.4
barley,,,79,,,4.9,148,
barley,,,69,,,,137,2645.1
sugarcane,,,,,,6.3,,unknown
,104,,21,,,,,
cotton,87,28,,,98.7,4.5,96,unknown
maize,,,41,,90.2,,,3628.3
unknown,,38,,,,,173,unknown
millet,95,,30,35.2,,6.3,,
unknown,,,40,,35.9,,,
wheat,,,38,,,5.2,67,
unknown,103,57,,,78.9,,,
groundnut,,51,60,35.5,,5.6,,
